Time	UE Id	DistanceX	DistanceY
25.3	1	356	-150
25.3	2	456	-150
25.4	0	258	-150
25.4	1	358	-150
25.4	2	458	-150
25.5	0	260	-150
25.5	1	360	-150
25.5	2	460	-150
25.6	0	262	-150
25.6	1	362	-150
25.6	2	462	-150
25.7	0	264	-150
25.7	1	364	-150
25.7	2	464	-150
25.8	0	266	-150
25.8	1	366	-150
25.8	2	466	-150
25.9	0	268	-150
25.9	1	368	-150
25.9	2	468	-150
26	0	270	-150
26	1	370	-150
26	2	470	-150
26.1	0	272	-150
26.1	1	372	-150
26.1	2	472	-150
26.2	0	274	-150
26.2	1	374	-150
26.2	2	474	-150
26.3	0	276	-150
26.3	1	376	-150
26.3	2	476	-150
26.4	0	278	-150
26.4	1	378	-150
26.4	2	478	-150
26.5	0	280	-150
26.5	1	380	-150
26.5	2	480	-150
26.6	0	282	-150
26.6	1	382	-150
26.6	2	482	-150
26.7	0	284	-150
26.7	1	384	-150
26.7	2	484	-150
26.8	0	286	-150
26.8	1	386	-150
26.8	2	486	-150
26.9	0	288	-150
26.9	1	388	-150
26.9	2	488	-150
27	0	290	-150
27	1	390	-150
27	2	490	-150
27.1	0	292	-150
27.1	1	392	-150
27.1	2	492	-150
27.2	0	294	-150
27.2	1	394	-150
27.2	2	494	-150
27.3	0	296	-150
27.3	1	396	-150
27.3	2	496	-150
27.4	0	298	-150
27.4	1	398	-150
27.4	2	498	-150
27.5	0	300	-150
27.5	1	400	-150
27.5	2	500	-150
27.6	0	302	-150
27.6	1	402	-150
27.6	2	502	-150
27.7	0	304	-150
27.7	1	404	-150
27.7	2	504	-150
27.8	0	306	-150
27.8	1	406	-150
27.8	2	506	-150
27.9	0	308	-150
27.9	1	408	-150
27.9	2	508	-150
28	0	310	-150
28	1	410	-150
28	2	510	-150
28.1	0	312	-150
28.1	1	412	-150
28.1	2	512	-150
28.2	0	314	-150
28.2	1	414	-150
28.2	2	514	-150
28.3	0	316	-150
28.3	1	416	-150
28.3	2	516	-150
28.4	0	318	-150
28.4	1	418	-150
28.4	2	518	-150
28.5	0	320	-150
28.5	1	420	-150
28.5	2	520	-150
28.6	0	322	-150
28.6	1	422	-150
28.6	2	522	-150
28.7	0	324	-150
28.7	1	424	-150
28.7	2	524	-150
28.8	0	326	-150
28.8	1	426	-150
28.8	2	526	-150
28.9	0	328	-150
28.9	1	428	-150
28.9	2	528	-150
29	0	330	-150
29	1	430	-150
29	2	530	-150
29.1	0	332	-150
29.1	1	432	-150
29.1	2	532	-150
29.2	0	334	-150
