,% start,end,CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay,stdDev,min,max,PduSize,stdDev.1,min.1,max.1,priority
646,15.5,15.75,1,7,7,3,25,26400,25,26400,0.000743569,3.11347e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
647,15.5,15.75,1,8,8,3,25,26400,25,26400,0.000761426,3.11347e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
648,15.5,15.75,1,9,9,3,25,26400,26,27456,0.00084519,0.000237309,0.000724998,0.00165357,1056,0,1056,1056,high
649,15.5,15.75,1,10,10,3,25,26400,25,26400,0.00079714,3.11347e-05,0.000742855,0.000814283,1056,0,1056,1056,high
650,15.75,16.0,1,1,1,3,25,26400,25,26400,0.000670713,5.72817e-05,0.000635713,0.000760712,1056,0,1056,1056,high
651,15.75,16.0,1,2,2,3,25,26400,25,26400,0.00068857,5.72817e-05,0.00065357,0.000778569,1056,0,1056,1056,low
652,15.75,16.0,1,3,3,3,25,26400,25,26400,0.000706427,5.72817e-05,0.000671427,0.000796426,1056,0,1056,1056,low
653,15.75,16.0,1,4,4,3,25,26400,25,26400,0.000724284,5.72817e-05,0.000689284,0.000814283,1056,0,1056,1056,low
654,15.75,16.0,1,5,5,3,25,26400,28,29568,0.00086084,0.000314533,0.000635713,0.00140357,1056,0,1056,1056,medium
655,15.75,16.0,1,6,6,3,50,26450,50,26450,0.000688213,4.18255e-05,0.00065357,0.000742855,529,138391,392,666,low
656,15.75,16.0,1,7,7,3,25,26400,25,26400,0.000740712,3.27324e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
657,15.75,16.0,1,8,8,3,25,26400,25,26400,0.000758569,3.27324e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
658,15.75,16.0,1,9,9,3,25,26400,28,29568,0.000945023,0.00033369,0.000724998,0.00165357,1056,0,1056,1056,high
659,15.75,16.0,1,10,10,3,25,26400,25,26400,0.000794283,3.27324e-05,0.000742855,0.000814283,1056,0,1056,1056,high
660,16.0,16.25,1,1,1,3,25,26400,25,26400,0.000645713,3.46107e-05,0.000635713,0.000760712,1056,0,1056,1056,high
661,16.0,16.25,1,2,2,3,25,26400,25,26400,0.00066357,3.46107e-05,0.00065357,0.000778569,1056,0,1056,1056,low
662,16.0,16.25,1,3,3,3,25,26400,25,26400,0.000681427,3.46107e-05,0.000671427,0.000796426,1056,0,1056,1056,low
663,16.0,16.25,1,4,4,3,25,26400,25,26400,0.000699284,3.46107e-05,0.000689284,0.000814283,1056,0,1056,1056,low
